,name,description,member
44819,ATF3,SNORD114-29,colon
44832,ATF3,PSMC1P11,colon
44840,ATF3,PIP5K1P1,colon
44851,ATF3,SUMO2P12,colon
44892,ATF3,HSPE1P11,colon
44944,ATF3,MIR4463,colon
44978,ATF3,RP11-356I2.1,colon
45005,ATF3,CACYBPP3,colon
45006,ATF3,AMZ2P2,colon
45100,ATF3,MIR6747,colon
45168,ATF3,RP11-730K11.1,colon
45170,ATF3,MIR100,colon
45177,ATF3,TCEB2P2,colon
45237,ATF3,AC115522.3,colon
45285,ATF3,MRO,colon
45295,ATF3,RP11-126O1.2,colon
45313,ATF5,NEK1,colon
45314,ATF5,CLCN3,colon
45315,ATF5,SRP14,colon
45316,ATF5,SRP14-AS1,colon
45317,ATF5,SNAP23,colon
45318,ATF5,TTLL13,colon
45319,ATF5,NGRN,colon
45320,ATF5,ZFAND5,colon
45321,ATF5,MTIF3,colon
45322,ATF5,IFRD1,colon
45323,ATF5,LEKR1,colon
45324,ATF5,MLEC,colon
45341,ATOH1,TFEB,colon
45342,ATOH1,KAT2A,colon
45343,ATOH1,HSPB9,colon
45344,ATOH1,BOD1,colon
45345,ATOH1,NTAN1,colon
45346,ATOH1,ZMYND10,colon
45347,ATOH1,NPRL2,colon
45348,ATOH1,CYB561D2,colon
45349,ATOH1,XXcos-LUCA11.5,colon
45350,ATOH1,TMEM115,colon
45351,ATOH1,CYB561D2,colon
45873,BACH1,RP11-500C11.3,colon
45874,BACH1,NUP153,colon
45875,BACH1,RP11-73M7.6,colon
45876,BACH1,AL132780.1,colon
45877,BACH1,PSMB5,colon
47518,BARHL1,CLUH,colon
47519,BARHL1,RP11-74E22.3,colon
47520,BARHL1,CWC25,colon
47521,BARHL1,MIR4727,colon
47522,BARHL1,RPL23,colon
47523,BARHL1,SNORA21,colon
47524,BARHL1,SNORA21,colon
47525,BARHL1,RPS20P35,colon
47526,BARHL1,FBXL20,colon
47527,BARHL1,CTB-131K11.1,colon
47528,BARHL1,USP36,colon
47530,BARHL1,OXLD1,colon
47531,BARHL1,CCDC137,colon
47532,BARHL1,RP11-91A18.4,colon
47533,BARHL1,KTI12,colon
47534,BARHL1,TAF6L,colon
47535,BARHL1,RP11-727F15.11,colon
47536,BARHL1,NXF1,colon
47538,BARHL1,PPAN-P2RY11,colon
47539,BARHL1,PPAN,colon
47540,BARHL1,SNORD105,colon
47541,BARHL1,SIX5,colon
47542,BARHL1,AC074212.6,colon
47543,BARHL1,DMPK,colon
47544,BARHL1,PTPN6,colon
47545,BARHL1,MIR8072,colon
47546,BARHL1,SBNO1,colon
47547,BARHL1,MIR8072,colon
47548,BARHL1,TWISTNB,colon
47549,BARHL1,ZNF862,colon
47550,BARHL1,BLOC1S5,colon
47551,BARHL1,LSM2,colon
47552,BARHL1,CELSR3,colon
47553,BARHL1,CELSR3-AS1,colon
47554,BARHL1,RP4-621N11.2,colon
47555,BARHL1,RBL1,colon
47556,BARHL1,CDC42EP1,colon
47557,BARHL1,GGA1,colon
47558,BARHL1,ODC1,colon
47559,BARHL1,RP11-320M2.1,colon
47560,BARX2,UBE2I,colon
47561,BARX2,LA16c-358B7.4,colon
47562,BARX2,BAIAP3,colon
47563,BARX2,FLYWCH2,colon
47564,BARX2,FOPNL,colon
47565,BARX2,KDM8,colon
47566,BARX2,NSMCE1,colon
47567,BARX2,TBC1D10B,colon
47568,BARX2,MYLPF,colon
47569,BARX2,ZNF688,colon
47570,BARX2,AC002310.7,colon
47571,BARX2,ZNF785,colon
47572,BARX2,RP11-146F11.5,colon
47574,BARX2,ZNF689,colon
47576,BARX2,RP11-345M22.2,colon
47577,BARX2,RP11-345M22.1,colon
47578,BARX2,GCSH,colon
47579,BARX2,TLDC1,colon
47580,BARX2,FBXO31,colon
47581,BARX2,HMGCS1,colon
47582,BARX2,ERAP1,colon
47583,BARX2,DCP2,colon
47584,BARX2,IK,colon
47585,BARX2,ZMAT2,colon
47586,BARX2,PWWP2A,colon
47587,BARX2,NHP2,colon
47588,BARX2,ACOT8,colon
47589,BARX2,ZSWIM3,colon
47590,BARX2,ZSWIM1,colon
47591,BARX2,LMCD1-AS1,colon
47592,BARX2,LMCD1,colon
47593,BARX2,RPUSD3,colon
47594,BARX2,GORASP1,colon
47595,BARX2,TTC21A,colon
47596,BARX2,CCDC12,colon
47597,BARX2,CDC25A,colon
47598,BARX2,CELSR3,colon
47599,BARX2,CELSR3-AS1,colon
47600,BARX2,IP6K2,colon
47601,BARX2,IP6K1,colon
47602,BARX2,DUSP7,colon
47603,BARX2,CEP70,colon
47604,BARX2,MCCC1,colon
47605,BARX2,AC090505.4,colon
47606,BARX2,AC090505.6,colon
47607,BARX2,SLC46A3,colon
47608,BARX2,HMGB1,colon
47609,BARX2,RPL22,colon
47610,BARX2,RP4-680D5.2,colon
47611,BARX2,CHCHD2P6,colon
47612,BARX2,DDOST,colon
47613,BARX2,STPG1,colon
47614,BARX2,NIPAL3,colon
47615,BARX2,RP1-65J11.1,colon
47616,BARX2,IQCC,colon
47617,BARX2,RP4-622L5.7,colon
47618,BARX2,SFPQ,colon
47619,BARX2,OSCP1,colon
47620,BARX2,MRPS15,colon
47622,BARX2,INPP5B,colon
47623,BARX2,ERI3,colon
47624,BARX2,TMEM53,colon
47625,BARX2,C1orf228,colon
47626,BARX2,TESK2,colon
47627,BARX2,NFIA,colon
47628,BARX2,SORT1,colon
47629,BARX2,PSMA5,colon
47630,BARX2,RP11-27K13.3,colon
47631,BARX2,TTF2,colon
47632,BARX2,PMF1-BGLAP,colon
47633,BARX2,PMF1,colon
47634,BARX2,TOMM40L,colon
47635,BARX2,MIR5187,colon
47636,BARX2,MIR3916,colon
47637,BARX2,HNRNPC,colon
47638,BARX2,C14orf93,colon
47639,BARX2,RP11-298I3.3,colon
